feature,missing_fraction
burst__mean_amp__temporal_beta,0.0
burst__median_dur_sec__temporal_beta,0.0
burst__mean_amp__central_alpha,0.0
burst__mean_amp__central_beta,0.0
burst__mean_amp__frontal_alpha,0.0
burst__mean_amp__frontal_beta,0.0
burst__mean_amp__occipital_beta,0.0
burst__mean_amp__parietal_alpha,0.0
burst__mean_amp__parietal_beta,0.0
burst__mean_amp__temporal_alpha,0.0
burst__median_dur_sec__temporal_alpha,0.0
tfr__value__central_tfr_mean_gamma,0.0
tfr__value__central_tfr_mean_theta,0.0
tfr__value__frontal_tfr_alpha_cv,0.0
tfr__value__frontal_tfr_mean_alpha,0.0
tfr__value__frontal_tfr_mean_beta,0.0
tfr__value__frontal_tfr_mean_delta,0.0
tfr__value__frontal_tfr_mean_gamma,0.0
tfr__value__frontal_tfr_mean_theta,0.0
tfr__value__occipital_tfr_alpha_cv,0.0
burst__median_ibi_sec__central_beta,0.0
tfr__value__occipital_tfr_mean_beta,0.0
tfr__value__occipital_tfr_mean_delta,0.0
tfr__value__occipital_tfr_mean_gamma,0.0
tfr__value__occipital_tfr_mean_theta,0.0
meta__sfreq_hz,0.0
tfr__value__parietal_tfr_mean_alpha,0.0
tfr__value__parietal_tfr_mean_beta,0.0
tfr__value__parietal_tfr_mean_delta,0.0
tfr__value__parietal_tfr_mean_gamma,0.0
tfr__value__occipital_tfr_mean_alpha,0.0
burst__median_ibi_sec__frontal_alpha,0.0
burst__median_ibi_sec__frontal_beta,0.0
burst__median_ibi_sec__occipital_beta,0.0
burst__median_ibi_sec__parietal_alpha,0.0
burst__median_ibi_sec__parietal_beta,0.0
burst__median_ibi_sec__temporal_alpha,0.0
burst__median_ibi_sec__temporal_beta,0.0
burst__total_sec__central_alpha,0.0
burst__total_sec__central_beta,0.0
tfr__value__central_tfr_mean_delta,0.0
burst__total_sec__frontal_beta,0.0
burst__total_sec__occipital_alpha,0.0
burst__total_sec__occipital_beta,0.0
burst__total_sec__parietal_alpha,0.0
burst__total_sec__parietal_beta,0.0
burst__total_sec__temporal_alpha,0.0
burst__total_sec__temporal_beta,0.0
tfr__value__central_tfr_alpha_cv,0.0
tfr__value__central_tfr_mean_alpha,0.0
tfr__value__central_tfr_mean_beta,0.0
burst__total_sec__frontal_alpha,0.0
dfa__env_fs__parietal_alpha,0.0
dfa__env_fs__parietal_beta,0.0
dfa__env_fs__temporal_alpha,0.0
dfa__env_fs__temporal_beta,0.0
dfa__n_scales_used__central_alpha,0.0
dfa__n_scales_used__central_beta,0.0
dfa__n_scales_used__frontal_alpha,0.0
dfa__n_scales_used__frontal_beta,0.0
dfa__n_scales_used__occipital_alpha,0.0
burst__mean_dur_sec__parietal_beta,0.0
dfa__n_scales_used__parietal_alpha,0.0
dfa__n_scales_used__parietal_beta,0.0
dfa__n_scales_used__temporal_alpha,0.0
dfa__n_scales_used__temporal_beta,0.0
dfa__n_epochs_used__central_alpha,0.0
dfa__n_epochs_used__central_beta,0.0
dfa__n_epochs_used__frontal_alpha,0.0
dfa__n_epochs_used__frontal_beta,0.0
dfa__n_epochs_used__occipital_alpha,0.0
dfa__n_scales_used__occipital_beta,0.0
gamma__gamma_res__central,0.0
gamma__gamma_res__frontal,0.0
gamma__gamma_res__occipital,0.0
gamma__gamma_res__parietal,0.0
dfa__dfa_exp__central_alpha,0.0
dfa__dfa_exp__central_beta,0.0
dfa__dfa_exp__frontal_alpha,0.0
dfa__dfa_exp__frontal_beta,0.0
dfa__dfa_exp__occipital_alpha,0.0
dfa__env_fs__occipital_beta,0.0
dfa__dfa_exp__parietal_alpha,0.0
dfa__dfa_exp__parietal_beta,0.0
dfa__dfa_exp__temporal_alpha,0.0
dfa__dfa_exp__temporal_beta,0.0
dfa__env_fs__central_alpha,0.0
dfa__env_fs__central_beta,0.0
dfa__env_fs__frontal_alpha,0.0
dfa__env_fs__frontal_beta,0.0
dfa__env_fs__occipital_alpha,0.0
dfa__dfa_exp__occipital_beta,0.0
burst__rate_per_min__parietal_beta,0.0
burst__rate_per_min__temporal_alpha,0.0
burst__rate_per_min__temporal_beta,0.0
burst__pct_time__central_alpha,0.0
burst__pct_time__central_beta,0.0
burst__pct_time__frontal_alpha,0.0
burst__pct_time__frontal_beta,0.0
burst__pct_time__occipital_alpha,0.0
burst__pct_time__occipital_beta,0.0
dfa__n_epochs_used__occipital_beta,0.0
burst__pct_time__parietal_beta,0.0
burst__pct_time__temporal_alpha,0.0
burst__pct_time__temporal_beta,0.0
burst__mean_dur_sec__central_alpha,0.0
burst__mean_dur_sec__central_beta,0.0
burst__mean_dur_sec__frontal_alpha,0.0
burst__mean_dur_sec__frontal_beta,0.0
burst__mean_dur_sec__occipital_beta,0.0
burst__mean_dur_sec__parietal_alpha,0.0
burst__pct_time__parietal_alpha,0.0
dfa__n_epochs_used__parietal_alpha,0.0
dfa__n_epochs_used__parietal_beta,0.0
dfa__n_epochs_used__temporal_alpha,0.0
dfa__n_epochs_used__temporal_beta,0.0
burst__n_bursts__central_alpha,0.0
burst__n_bursts__central_beta,0.0
burst__n_bursts__frontal_alpha,0.0
burst__n_bursts__frontal_beta,0.0
burst__n_bursts__occipital_alpha,0.0
burst__rate_per_min__parietal_alpha,0.0
burst__n_bursts__parietal_alpha,0.0
burst__n_bursts__parietal_beta,0.0
burst__n_bursts__temporal_alpha,0.0
burst__n_bursts__temporal_beta,0.0
burst__rate_per_min__central_alpha,0.0
burst__rate_per_min__central_beta,0.0
burst__rate_per_min__frontal_alpha,0.0
burst__rate_per_min__frontal_beta,0.0
burst__rate_per_min__occipital_alpha,0.0
burst__rate_per_min__occipital_beta,0.0
burst__n_bursts__occipital_beta,0.0
