model,model_ru,feature,feature_ru,block,block_ru,importance_mean,importance_std,feature_set,validation,n_repeats,n_train,n_test,logreg_coef,logreg_abs_coef,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr,rank_strict,rank_in_model,importance_positive
logreg,Логистическая регрессия,dfa__dfa_exp__frontal_alpha,Долговременные корреляции · dfa exp · лобная область α,dfa,Долговременные корреляции,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.1221014172093764,0.1221014172093764,0.7776268115942029,1.042285237626885,1.042285237626885,1.7677359688023226e-08,21,21,0.0
logreg,Логистическая регрессия,dfa__dfa_exp__occipital_alpha,Долговременные корреляции · dfa exp · затылочная область α,dfa,Долговременные корреляции,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.19360333325927018,0.19360333325927018,0.7768719806763286,1.0969821672769275,1.0969821672769275,1.8622578989888503e-08,22,22,0.0
logreg,Логистическая регрессия,conn__hub_z_max__plv_beta,Функциональная связность · максимальный hub z-score · PLV β,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.2478008299119807,0.2478008299119807,0.776268115942029,-1.066771737493484,1.066771737493484,1.8707026878628353e-08,23,23,0.0
logreg,Логистическая регрессия,aper__aperiodic_exponent__frontal,Апериодический компонент · экспонента 1/f · лобная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.173338025657065,0.173338025657065,0.7758152173913043,0.9693323545586681,0.9693323545586681,1.8707026878628353e-08,24,24,0.0
logreg,Логистическая регрессия,aper__aperiodic_slope__frontal,Апериодический компонент · наклон 1/f · лобная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.173338025657065,0.173338025657065,0.7758152173913043,-0.9693323545586681,0.9693323545586681,1.8707026878628353e-08,25,25,0.0
logreg,Логистическая регрессия,aper__aperiodic_intercept_log10__central,Апериодический компонент · aperiodic intercept log10 · центральная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.11943832785060221,0.11943832785060221,0.7743055555555556,1.0490147568707586,1.0490147568707586,2.2011209754442993e-08,26,26,0.0
logreg,Логистическая регрессия,spec_shape__spectral_entropy_raw__central,Интегральные спектральные характеристики · спектральная энтропия · центральная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.052400677342211495,0.052400677342211495,0.7732487922705313,-1.0081510450692717,1.0081510450692717,2.3441782877667187e-08,27,27,0.0
logreg,Логистическая регрессия,spec_shape__spectral_entropy_norm__central,Интегральные спектральные характеристики · спектральная энтропия norm · центральная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.052400677342212015,0.052400677342212015,0.7732487922705313,-1.0081510450692663,1.0081510450692663,2.3441782877667187e-08,28,28,0.0
logreg,Логистическая регрессия,dfa__dfa_exp__parietal_alpha,Долговременные корреляции · dfa exp · теменная область α,dfa,Долговременные корреляции,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.1750608565798002,0.1750608565798002,0.7715881642512078,1.0199965450147548,1.0199965450147548,2.8231835211831212e-08,29,29,0.0
logreg,Логистическая регрессия,conn__global_efficiency__plv_theta,Функциональная связность · глобальная эффективность · PLV θ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.16523262790170498,0.16523262790170498,0.7697765700483092,-0.9378487017738449,0.9378487017738449,3.469544755493704e-08,30,30,0.0
logreg,Логистическая регрессия,aper__aperiodic_exponent__parietal,Апериодический компонент · экспонента 1/f · теменная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.011166359374353075,0.011166359374353075,0.7673611111111112,0.9890745135324296,0.9890745135324296,4.463795683076409e-08,31,31,0.0
logreg,Логистическая регрессия,aper__aperiodic_slope__parietal,Апериодический компонент · наклон 1/f · теменная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.011166359374353075,0.011166359374353075,0.7673611111111112,-0.9890745135324296,0.9890745135324296,4.463795683076409e-08,32,32,0.0
logreg,Логистическая регрессия,conn__global_efficiency__pdc_beta,Функциональная связность · глобальная эффективность · PDC β,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.28370723194239844,0.28370723194239844,0.7604166666666666,-0.9503946936191081,0.9503946936191081,1.03706992272243e-07,33,33,0.0
logreg,Логистическая регрессия,conn__hub_z_max__coh_delta,Функциональная связность · максимальный hub z-score · coherence δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.09881070793925507,0.09881070793925507,0.7586050724637682,-0.9479797066387464,0.9479797066387464,1.2695350882579458e-07,34,34,0.0
logreg,Логистическая регрессия,burst__pct_time__frontal_alpha,Ритмические эпизоды · pct time · лобная область α,burst,Ритмические эпизоды,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.19130135927517022,0.19130135927517022,0.7580012077294687,0.951274927971627,0.951274927971627,1.3312058525082866e-07,35,35,0.0
