feature,feature_ru,block,block_ru,n_models_top_n,mean_rank,best_rank,mean_importance,max_importance,models_top_n,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
burst__pct_time__parietal_alpha,Вспышки · pct time · parietal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7540760869565218,0.9235073241276345,0.9235073241276345,1.9536960045242323e-07
burst__pct_time__parietal_beta,Вспышки · pct time · parietal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6378321256038647,0.5297890577783736,0.5297890577783736,0.006447920889551053
burst__pct_time__temporal_alpha,Вспышки · pct time · temporal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6856884057971013,0.6745289720101295,0.6745289720101295,0.00017022261714022424
burst__pct_time__temporal_beta,Вспышки · pct time · temporal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5951086956521741,0.3031420060625372,0.3031420060625372,0.07115603253145641
burst__rate_per_min__central_alpha,Вспышки · rate per min · central alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5329861111111112,0.09423014288682256,0.09423014288682256,0.5731495012396656
burst__rate_per_min__central_beta,Вспышки · rate per min · central beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6320199275362319,0.3932576927086906,0.3932576927086906,0.009200543616758088
burst__rate_per_min__frontal_alpha,Вспышки · rate per min · frontal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5055857487922705,-0.04445419253011053,0.04445419253011053,0.9234446970490824
burst__rate_per_min__frontal_beta,Вспышки · rate per min · frontal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6911986714975845,0.6772754937316076,0.6772754937316076,0.00010557858266265326
burst__rate_per_min__occipital_alpha,Вспышки · rate per min · occipital alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5071708937198068,-0.02459786894657033,0.02459786894657033,0.9133038647402824
burst__rate_per_min__occipital_beta,Вспышки · rate per min · occipital beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6831974637681159,0.6283257107284206,0.6283257107284206,0.00021225127040031306
burst__rate_per_min__parietal_alpha,Вспышки · rate per min · parietal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5070199275362319,-0.03611791198672944,0.03611791198672944,0.9133038647402824
burst__rate_per_min__parietal_beta,Вспышки · rate per min · parietal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7048611111111113,0.7469014001846134,0.7469014001846134,3.135770660242065e-05
burst__rate_per_min__temporal_alpha,Вспышки · rate per min · temporal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.50618961352657,0.007913370247565353,0.007913370247565353,0.9206781349717538
conn__asymmetry__dtf_alpha,Связность · asymmetry · dtf alpha,conn,Связность,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5452898550724637,-0.15872519883511635,0.15872519883511635,0.43668117604977896
