feature,feature_ru,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
conn__modularity__pdc_beta,Функциональная связность · modularity · pdc beta,-0.004678174470810921,-0.00015392780322392955,0.004678174470810921,0.00015392780322392955
conn__modularity__pdc_delta,Функциональная связность · modularity · pdc delta,0.005298029546826962,0.023592651940789237,0.005298029546826962,0.023592651940789237
conn__modularity__pdc_theta,Функциональная связность · modularity · pdc theta,-0.005488085834954511,-0.020988645351384193,0.005488085834954511,0.020988645351384193
conn__modularity__plv_alpha,Функциональная связность · modularity · plv alpha,-0.06322942331890012,-0.05407975225819109,0.06322942331890012,0.05407975225819109
conn__modularity__plv_beta,Функциональная связность · modularity · plv beta,-0.02443931920147081,-0.017373305027470556,0.02443931920147081,0.017373305027470556
conn__modularity__plv_delta,Функциональная связность · modularity · plv delta,-0.04220105754366347,0.041598323818266794,0.04220105754366347,0.041598323818266794
conn__modularity__plv_theta,Функциональная связность · modularity · plv theta,-0.053610172021291015,-0.00636672522720964,0.053610172021291015,0.00636672522720964
conn__modularity__wpli_alpha,Функциональная связность · modularity · wpli alpha,0.02043451034914614,-0.006653504546215149,0.02043451034914614,0.006653504546215149
conn__modularity__wpli_beta,Функциональная связность · modularity · wpli beta,-0.008551614730761157,-0.007589969165216138,0.008551614730761157,0.007589969165216138
conn__modularity__wpli_delta,Функциональная связность · modularity · wpli delta,0.0165269302519518,-0.01280525868780842,0.0165269302519518,0.01280525868780842
conn__modularity__wpli_theta,Функциональная связность · modularity · wpli theta,-4.2419242726891614e-05,-0.03409833394824514,4.2419242726891614e-05,0.03409833394824514
conn__small_worldness__coh_alpha,Функциональная связность · small worldness · coh alpha,-0.04008334120801709,-0.05137326603865155,0.04008334120801709,0.05137326603865155
conn__small_worldness__coh_beta,Функциональная связность · small worldness · coh beta,-0.005567105290576356,-0.01186708934977512,0.005567105290576356,0.01186708934977512
conn__small_worldness__coh_delta,Функциональная связность · small worldness · coh delta,-0.03405746218035475,0.01976628809762181,0.03405746218035475,0.01976628809762181
conn__small_worldness__coh_theta,Функциональная связность · small worldness · coh theta,-0.00351352207790908,-0.0005055099736751014,0.00351352207790908,0.0005055099736751014
conn__small_worldness__dtf_alpha,Функциональная связность · small worldness · dtf alpha,-0.00846772600796079,0.005675415280343854,0.00846772600796079,0.005675415280343854
conn__small_worldness__dtf_beta,Функциональная связность · small worldness · dtf beta,0.029002062657931354,-0.013397088096243043,0.029002062657931354,0.013397088096243043
conn__small_worldness__dtf_delta,Функциональная связность · small worldness · dtf delta,0.004877749248175564,0.05153057684913175,0.004877749248175564,0.05153057684913175
conn__small_worldness__dtf_theta,Функциональная связность · small worldness · dtf theta,0.01590795807613815,0.01897293015822432,0.01590795807613815,0.01897293015822432
conn__small_worldness__imcoh_alpha,Функциональная связность · small worldness · imcoh alpha,-0.023480315216367613,-0.037013256757724836,0.023480315216367613,0.037013256757724836
conn__small_worldness__imcoh_beta,Функциональная связность · small worldness · imcoh beta,0.0038281283902845526,-0.025828484992412325,0.0038281283902845526,0.025828484992412325
