region,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
parietal,sef95,24.720108695652176,27.86226851851852,-3.1421598228663434,23.895833333333336,26.75,-2.8541666666666643,7.1875,9.203125,-0.5618293414734207,-0.2971014492753623,2328.0,0.0011183607939697774,92,72,0.0038343798650392366,True
frontal,alpha_peak_residual_amplitude,0.7036523034913655,0.5244203904552314,0.17923191303613417,0.7693114957362377,0.49145750615238737,0.2778539895838503,0.47934993897992656,0.6174291154204872,0.4865548100719926,0.2928743961352658,4282.0,0.0013160830673839183,92,72,0.004268377515839735,True
parietal,rel_power_alpha,0.446421074301462,0.3634394518167036,0.08298162248475838,0.46809356547230435,0.3467393341291253,0.12135423134317908,0.24985078849708137,0.22981319988311114,0.5183258622754213,0.2928743961352658,4282.0,0.0013160830673839183,92,72,0.004268377515839735,True
parietal,rel_power_beta,0.16115561651547325,0.20385749587242769,-0.042701879356954436,0.14392595929287275,0.18735875986762046,-0.043432800574747715,0.09027446681734276,0.11386803899181788,-0.5079567415852801,-0.2901570048309179,2351.0,0.0014594506857318597,92,72,0.0045422741051633925,True
parietal,spectral_flatness,0.3495775587682422,0.4208134400007184,-0.0712358812324762,0.33803196708692584,0.40852404371710815,-0.07049207663018231,0.15559811939837864,0.2096061694555682,-0.5112392472282459,-0.28985507246376807,2352.0,0.0014762390841781027,92,72,0.0045422741051633925,True
occipital,aperiodic_offset,-10.654881694993847,-10.894382336024279,0.2395006410304319,-10.64042495521819,-10.879436606367278,0.23901165114908807,0.5299113907410735,0.7944123861645718,0.5038949781700924,0.2774758454106281,4231.0,0.0023387425046855234,92,72,0.007016227514056571,True
central,idx_slow_alpha,1.6586242755274305,2.286590081118531,-0.6279658055911004,1.221657819340636,1.802758552063815,-0.581100732723179,1.150179986106407,1.6758700858253341,-0.40974954045401213,-0.26388888888888884,2438.0,0.003799415608073363,92,72,0.010970590748906852,True
frontal,aperiodic_offset,-11.014223621279616,-11.207374824039553,0.19315120275993714,-11.058561271773108,-11.236999131273464,0.17843785950035596,0.5556671024177433,0.6019800026146545,0.4450114599496402,0.263586956521739,4185.0,0.003839706762117398,92,72,0.010970590748906852,True
parietal,total_power_1_45,5.896219359222521e-11,4.5117999312548595e-11,1.3844194279676614e-11,4.349257101006532e-11,3.4019518125510404e-11,9.473052884554918e-12,5.6132086113060384e-11,3.8134957640333864e-11,0.33639608937262466,0.2620772946859904,4180.0,0.004047045863016806,92,72,0.011294081478186434,True
parietal,idx_slow_alpha_beta,0.6383201832353474,0.9091764456919726,-0.2708562624566252,0.5343693856969844,0.7025138933340742,-0.16814450763708977,0.4497160082679175,0.5466123709491064,-0.3997451272033572,-0.26026570048309183,2450.0,0.004309239264894406,92,72,0.01175247072243929,True
