band,channel,tbi_mean,control_mean,delta_tbi_minus_control,hedges_g,p_value,n_tbi,n_control,q_fdr
beta,F7,0.15256114416073632,0.18952501562972784,-0.03696387146899152,-0.5874863345551937,0.00018453502217205905,92,72,0.0006689394553737141
beta,F8,0.15656760838807324,0.18768195571948607,-0.03111434733141283,-0.51647282333439,0.0005123467662779665,92,72,0.0012381713518384192
beta,FC1,0.1706473017522386,0.20637697088655985,-0.03572966913432124,-0.4197469482346613,0.008229027754475614,92,72,0.01084735476726331
beta,FC2,0.17973007591471274,0.20984429314922204,-0.0301142172345093,-0.33077674855370887,0.033259955293017805,92,72,0.036397686924434576
beta,FC3,0.19292759855307115,0.23920016084839307,-0.04627256229532192,-0.5830458425482882,0.00011404577611854802,92,72,0.0006013322740796169
beta,FC4,0.20272730132109484,0.2469363713758653,-0.044209070054770455,-0.5153860710119819,0.0005123467662779665,92,72,0.0012381713518384192
beta,FC5,0.1814130282560525,0.22894076492659185,-0.04752773667053936,-0.6886894432493709,5.682956268933965e-06,92,72,0.00016480573179908497
beta,FC6,0.18910833295457063,0.23762529504232216,-0.048516962087751525,-0.6849736175009137,1.663019702960793e-05,92,72,0.00019291028554345197
beta,FT7,0.1618479604892194,0.20259905941154907,-0.04075109892232967,-0.6436930693692121,3.180891272961792e-05,92,72,0.0003074861563863065
beta,FT8,0.16972414864840027,0.20816005802017268,-0.03843590937177241,-0.6265015446507807,0.00015328454583698358,92,72,0.0006435517646169882
beta,Fp1,0.1600985551599404,0.1970625504791698,-0.03696399531922939,-0.4654573071850692,0.0016355417774557238,92,72,0.0030600459062074836
beta,Fp2,0.166866912173513,0.19692698633875297,-0.03006007416523998,-0.37169620789817964,0.010278552796913356,92,72,0.012959914396108144
beta,Fz,0.1609268851976153,0.18699163605901412,-0.02606475086139881,-0.3143276854003104,0.03699171227628695,92,72,0.03900944203681169
beta,O1,0.16605416601816927,0.19172226633314812,-0.025668100314978848,-0.3399518135180065,0.03522723947968854,92,72,0.03783666462633214
beta,O2,0.16249104862406677,0.19080364649142786,-0.028312597867361095,-0.3832723105348124,0.028387602592750208,92,72,0.03292961900759024
beta,Oz,0.16204867164743722,0.18313716547576644,-0.021088493828329224,-0.31121542239812594,0.07016654176322906,92,72,0.07139753372398747
beta,P1,0.1617806533976543,0.20269030537584887,-0.04090965197819457,-0.44811157914890626,0.0027857204271160094,92,72,0.004488105132575793
beta,P2,0.1530414892979316,0.19701835040658716,-0.04397686110865556,-0.5126234793690428,0.0015988320274960847,92,72,0.0030600459062074836
beta,P3,0.1751820406330377,0.22153003824868422,-0.046347997615646536,-0.47835159830917273,0.0011318289171297004,92,72,0.00243133619235269
beta,P4,0.16135592059817222,0.21067424574678423,-0.04931832514861201,-0.5477744478261664,0.0004044337657451533,92,72,0.0012345872849062575
beta,P5,0.17953733921814752,0.22963490569847334,-0.05009756648032582,-0.5317693480040631,0.0004936890665888684,92,72,0.0012381713518384192
beta,P6,0.16227608847641734,0.21568157807350502,-0.053405489597087685,-0.59668820415359,0.00015534008111444544,92,72,0.0006435517646169882
beta,P7,0.18315527629894032,0.22942897785088498,-0.04627370155194466,-0.5310398798907119,0.0020025792608613416,92,72,0.003519684761513873
beta,P8,0.1652826790066663,0.22145246082571415,-0.05616978181904786,-0.6392769685147484,8.798450217261616e-05,92,72,0.0005465674305776432
beta,PO3,0.1642599106445539,0.1935906233225183,-0.029330712677964416,-0.34050502334447824,0.04411901983063869,92,72,0.045694699110304354
beta,PO4,0.14850679678120104,0.18480343642565145,-0.0362966396444504,-0.46148585660188907,0.004400001500303295,92,72,0.006681143434946704
beta,PO7,0.17101660731488427,0.20863932610172956,-0.03762271878684528,-0.44161483992734124,0.004492492999360715,92,72,0.006681143434946704
beta,PO8,0.1611041904368221,0.204386511317213,-0.04328232088039091,-0.5152413675789052,0.0012566346700193217,92,72,0.0026030289593257376
beta,POz,0.14478988141030175,0.17315144972015706,-0.028361568309855312,-0.3793993646973281,0.024351919433006183,92,72,0.02882472096151752
beta,Pz,0.14834429457088358,0.18333837530145194,-0.03499408073056837,-0.42390991520713495,0.007027429213299061,92,72,0.009704545104079655
beta,T7,0.18488160112976953,0.22992675487674086,-0.04504515374697132,-0.6595208546266055,1.2680243865192887e-05,92,72,0.00019291028554345197
beta,T8,0.18899888856864128,0.23136011546040988,-0.042361226891768605,-0.6120987383853702,0.00017274355978754842,92,72,0.0006679417645118539
beta,TP7,0.19418953201437053,0.24300833733672386,-0.04881880532235333,-0.6412297291885559,0.000141479126371213,92,72,0.0006435517646169882
beta,TP8,0.18599657015265977,0.2394936015566964,-0.05349703140403664,-0.6741985337323183,6.218068380176862e-05,92,72,0.0004508099575628225
delta,AF3,0.2636638829595994,0.28777609266689186,-0.024112209707292442,-0.2446513823133513,0.17799876967320472,92,72,0.31847124502178675
delta,AF4,0.2599485241403017,0.28471396443859165,-0.024765440298289976,-0.24726354820172614,0.10131087636445112,92,72,0.23859605965015285
delta,AF7,0.28466416807920997,0.3148481285204319,-0.030183960441221958,-0.2891688002088545,0.05400369084872007,92,72,0.1491530509155126
delta,AF8,0.29133023263446317,0.31095640918644857,-0.019626176551985397,-0.18678135599278964,0.18558679604492367,92,72,0.31847124502178675
delta,C1,0.2765986629275798,0.2708214271798154,0.005777235747764398,0.06008314564720633,0.7820272013182704,92,72,0.8231633613167323
delta,C2,0.2674437811498298,0.27217258962943636,-0.00472880847960655,-0.049158715295953205,0.6017552285502865,92,72,0.6711885241522426
delta,C3,0.22701399845879172,0.21359795674632082,0.013416041712470905,0.14421155728564522,0.5107103284734905,92,72,0.6123571604592012
delta,C4,0.22984666973737816,0.21675323883821315,0.01309343089916501,0.1436239907641504,0.7947784178230519,92,72,0.8231633613167323
delta,C5,0.2563552947182852,0.2123712179807116,0.043984076737573624,0.515090706844755,0.004176276218307059,92,72,0.04759100293447248
delta,C6,0.2529218473561279,0.2141786015811182,0.03874324577500968,0.44283299763392925,0.006619122324874271,92,72,0.04759100293447248
delta,CP1,0.25515408019557434,0.2696337006645677,-0.01447962046899337,-0.14255156632309957,0.1866900401851853,92,72,0.31847124502178675
delta,CP2,0.2575519684204755,0.27093105824168123,-0.013379089821205725,-0.12343215986065229,0.2271338353090081,92,72,0.3466779591558545
delta,CP3,0.2121196287294738,0.22528771825199778,-0.01316808952252399,-0.14435751932291777,0.3066775847902532,92,72,0.4338365833618216
delta,CP4,0.21428404824754052,0.22777872245164998,-0.013494674204109464,-0.1437684202695164,0.22082304367718208,92,72,0.346155041439907
delta,CP5,0.22794223165070535,0.20718495509881615,0.020757276551889192,0.24436877825982378,0.1062377608160465,92,72,0.23859605965015285
delta,CP6,0.22167327621774596,0.2084979151315739,0.013175361086172066,0.14561837231237587,0.4235873760155162,92,72,0.5583651774749987
delta,CPz,0.26799865090944525,0.28390578313905507,-0.01590713222960982,-0.15028131826293778,0.24818922293888168,92,72,0.3691019212937215
delta,Cz,0.28071348248843686,0.2839011670203884,-0.0031876845319515623,-0.033985499891226574,0.7567029140823556,92,72,0.8231633613167323
delta,F1,0.2554134193687738,0.28141182948425847,-0.02599841011548465,-0.27092809758200426,0.16351953681740694,92,72,0.31613777118032005
