region,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
occipital,abs_power_gamma,2.486483646286614e-12,2.385466119264607e-12,1.0101752702200715e-13,1.7500301399406122e-12,1.3245907987544893e-12,4.2543934118612287e-13,1.859773228714699e-12,1.7952005310808795e-12,0.026439738026123663,0.14026196787774836,43875.0,0.004987703945389547,212,363,0.007389191030206735,True
parietal,spectral_entropy,0.8110781659766002,0.8227813864517427,-0.011703220475142495,0.8158791463183617,0.8358710316218703,-0.019991885303508594,0.06621759172625108,0.13434401655087813,-0.1580584172159933,-0.13919642393055776,33122.0,0.005328155200954525,212,363,0.007797300294079793,True
frontal,spectral_entropy,0.8242930526263316,0.8340294654001958,-0.009736412773864278,0.8254669794251575,0.842934837541126,-0.017467858115968515,0.05604996043632493,0.10973971403839378,-0.13303916271211447,-0.1323873382192422,33384.0,0.008045023878265363,212,363,0.011631359823998115,True
occipital,idx_slow_beta,2.415027569041542,2.518472851439395,-0.10344528239785289,2.200516947578934,1.8665499365548577,0.3339670110240762,1.196916639893297,1.5723839776599204,-0.04304398547573971,0.12739747388117895,43380.0,0.010763773863679977,212,363,0.015376819805257111,True
occipital,alpha_peak_frequency,9.995283018867925,9.791322314049587,0.2039607048183374,10.0,9.75,0.25,1.25,1.5,0.18222086289095143,0.1260720411663807,43329.0,0.011348771633394686,212,363,0.016021795247145438,True
occipital,aperiodic_exponent,1.3582366770178604,1.2554988180227498,0.10273785899511068,1.3797048759652235,1.328381428479556,0.05132344748566742,0.42338847440766214,0.5850304052296456,0.26190477276155383,0.12539633037060138,43303.0,0.012065860529577793,212,363,0.01683608445987599,True
temporal,alpha_peak_residual_amplitude,0.5699256693853214,0.5025590562997128,0.06736661308560865,0.5961826502938719,0.4263017154678259,0.16988093482604594,0.3796856609373429,0.6058291437475116,0.18921500015500786,0.12386298664171735,43244.0,0.01315614653345281,212,363,0.018146409011659047,True
frontal,rel_power_theta,0.1312882879179604,0.12516299954475524,0.006125288373205168,0.12227461539748238,0.11478358880503042,0.00749102659245196,0.05592413705729597,0.07063593136703508,0.1036596983285224,0.12136805447268562,43148.0,0.015116955063762079,212,363,0.020614029632402837,True
frontal,abs_power_gamma,1.6000448150037855e-12,2.0796482121436666e-12,-4.796033971398811e-13,1.1402301465785146e-12,1.2712843090016846e-12,-1.3105416242317006e-13,1.2359898127774417e-12,1.2779304923757061e-12,-0.16212079463140203,-0.11788554498674564,33942.0,0.018282617364570437,212,363,0.024650720042117442,True
temporal,rel_power_alpha,0.2843493435800146,0.2654579934790943,0.0188913501009203,0.28013773835034184,0.23695883976919085,0.04317889858115098,0.16990220970972622,0.2213869001703117,0.13439356326996882,0.11653412339518687,42962.0,0.019659263568620935,212,363,0.026212351424827914,True
frontal,total_power_1_45,3.159439561514301e-11,3.35697751563333e-11,-1.975379541190293e-12,2.5318118447492984e-11,2.1510751375314313e-11,3.807367072178672e-12,2.3922697085050038e-11,2.421013023739699e-11,-0.0607492483750352,0.10624252819793134,42566.0,0.03344107950697162,212,363,0.044098126822380165,True
central,rel_power_delta,0.2527501974527908,0.23748074131872732,0.015269456134063497,0.24736585791455393,0.22417121220646555,0.02319464570808838,0.12743637331736601,0.14306596403367608,0.14435030122559647,0.10595665055356318,42555.0,0.033919781853835956,212,363,0.04424319372239472,True
central,idx_slow_alpha,1.7020791578248227,2.134073088441157,-0.4319939306163343,1.1893097409226692,1.6284979153292987,-0.4391881744066295,1.4482173823775941,1.954971057777591,-0.21943391771460105,-0.10517698425074073,34431.0,0.0352552117283873,212,363,0.04549059577856426,True
occipital,idx_log_slow_alpha_beta,-0.5469346649855547,-0.46645517422417626,-0.08047949076137839,-0.52941931930239,-0.30983333797680485,-0.2195859813255851,0.9445827588793572,1.26199099143287,-0.09322304944399584,-0.10127865273662873,34581.0,0.04262468150135931,212,363,0.05384170294908545,False
occipital,idx_slow_alpha_beta,0.7305732161922808,0.9675136115596187,-0.2369403953673379,0.5889480896460073,0.7335692041623871,-0.14462111451637982,0.5573989167537723,0.8154336303232053,-0.2272659500515911,-0.10127865273662873,34581.0,0.04262468150135931,212,363,0.05384170294908545,False
occipital,spectral_flatness,0.3959851186891249,0.4370299981045115,-0.04104487941538659,0.3642590895906114,0.42418158598558614,-0.05992249639497477,0.18633764976316242,0.32199438149154114,-0.2129872074419492,-0.09748427672955973,34727.0,0.05100894340528068,212,363,0.06376117925660084,False
parietal,rel_power_theta,0.12525833288790472,0.11939946177645967,0.005858871111445049,0.11419044774844689,0.10831922117980201,0.0058712265686448745,0.06545186362199054,0.06389922806276338,0.09402901168608943,0.0960548885077186,42174.0,0.05450671207471578,212,363,0.06743098400995766,False
