roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
occipital,beta,burst_mean_duration_sec,0.11455760327402782,0.11234594187875863,0.002211661395269196,0.111462443438914,0.10977202380952378,0.001690419629390219,0.02150652256950207,0.012956755050505087,0.11357138939563688,0.07397342995169076,3557.0,0.41785191618013295,92,72,0.5844889809758437,False
occipital,beta,burst_rate_per_min,3.417650475001733,3.1292750705010834,0.2883754045006497,3.1666666666666665,2.9824929984966593,0.18417366817000724,2.4375,1.9731817481008038,0.1679159308744557,0.07140700483091789,3548.5,0.4341918144391982,92,72,0.5844889809758437,False
parietal,beta,burst_median_duration_sec,0.103463768115942,0.10121990740740741,0.0022438607085345924,0.10016666666666667,0.09912499999999999,0.0010416666666666768,0.010750000000000023,0.011062500000000003,0.20839784578000356,0.07155797101449268,3549.0,0.4332090519882408,92,72,0.5844889809758437,False
temporal,alpha,burst_mean_duration_sec,0.17320709486554323,0.1678899202432596,0.005317174622283621,0.16671259655377302,0.16534668515252413,0.0013659114012488927,0.034990679070645764,0.033164087074588455,0.17790129414028888,0.07276570048309172,3553.0,0.4255093848962622,92,72,0.5844889809758437,False
frontal,beta,burst_median_duration_sec,0.10211413043478261,0.09994403108465608,0.0021700993501265337,0.09999999999999999,0.09893750000000001,0.0010624999999999801,0.012083333333333321,0.009062499999999987,0.237799293018286,0.061141304347826164,3514.5,0.5032470898962393,92,72,0.664665967787486,False
temporal,beta,burst_mean_duration_sec,0.12100836066472512,0.11916380412167366,0.001844556543051462,0.11276559931296773,0.11517164942900233,-0.0024060501160346054,0.025708110904440862,0.016091320383048294,0.09031838061568812,-0.055857487922705285,3127.0,0.5409726080467074,92,72,0.7012607882086948,False
parietal,beta,burst_mean_peak_z,4.254105973422419,4.252638286796792,0.0014676866256273513,4.179219592405108,4.200939267817782,-0.021719675412674277,0.437559478376218,0.3698713112197787,0.004101251808308509,-0.05042270531400961,3145.0,0.5811541337624677,92,72,0.7396507156976861,False
occipital,beta,burst_mean_peak_z,4.406213566927509,4.461641983401569,-0.055428416474060604,4.262669582121886,4.306375318822814,-0.04370573670092881,0.7064461443178809,0.6281890882360237,-0.0806963816882455,-0.046497584541062786,3158.0,0.6110157867783967,92,72,0.7637697334729959,False
central,beta,burst_mean_peak_z,4.569598526931302,4.3894936481025395,0.1801048788287627,4.3306106449178365,4.288920050707777,0.04169059421005983,0.6568937284760334,0.6195772224870328,0.225132106218671,0.03985507246376807,3444.0,0.6630349812743006,92,72,0.8142534857754569,False
central,alpha,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
central,beta,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
frontal,alpha,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
frontal,beta,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
frontal,beta,burst_mean_peak_z,4.315989958541998,4.298168091787264,0.017821866754734295,4.17562521118926,4.2157140814601135,-0.040088870270853505,0.46574804462154074,0.5138747038887921,0.040287341026731226,0.0006038647342994086,3314.0,0.9960343167636422,92,72,1.0,False
occipital,alpha,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
occipital,beta,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
parietal,alpha,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
parietal,beta,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
temporal,alpha,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
temporal,beta,burst_mean_interburst_interval_sec,,,,,,,,,,,,,0,0,1.0,False
temporal,beta,burst_mean_peak_z,5.094491800392585,4.7887252118506,0.30576658854198513,4.598266051097935,4.525709318709822,0.07255673238811333,0.9820058586836451,0.708379486741916,0.23162337995267823,-0.0063405797101449,3291.0,0.9458437559894168,92,72,1.0,False
temporal,beta,burst_median_duration_sec,0.10626811594202898,0.10542708333333334,0.000841032608695641,0.1025833333333333,0.10275000000000001,-0.00016666666666670382,0.012083333333333349,0.010781249999999992,0.059827874002930714,-0.0016606280193236511,3306.5,0.9867811476637871,92,72,1.0,False
