method,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
imcoh,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,theta,median_strength,0.04004478727606176,0.04016984565190441,-0.000125058375842646,0.03213760258294872,0.028273013419206516,0.003864589163742202,0.03064172615350154,0.019790032958938344,-0.0035359001213518967,0.048913043478260976,3474.0,0.5925585036105594,92,72,1.0,False
imcoh,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,alpha,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,alpha,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,beta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,beta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,alpha,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,alpha,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,beta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,beta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,theta,median_strength,0.08974366957376258,0.08798440081215347,0.0017592687616091035,0.0643207283183841,0.05956898439244403,0.004751743925940077,0.06606091087544873,0.05198626485321388,0.0212829334979635,0.05283816425120769,3487.0,0.5631238563741272,92,72,1.0,False
wpli,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
