method,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
wpli,beta,avg_shortest_path,1.5733695652173914,1.5602816358024691,0.013087929414922206,1.6666666666666667,1.5833333333333335,0.08333333333333326,0.16666666666666674,0.125,0.10593293557647357,0.21693840579710155,4030.5,0.01390841720805467,92,72,0.017568526999648004,True
coh,beta,local_efficiency,0.39347826086956517,0.49374999999999997,-0.1002717391304348,0.39999999999999997,0.525,-0.12500000000000006,0.4,0.15000000000000002,-0.5358207920888061,-0.206219806763285,2629.0,0.016832549112499026,92,72,0.02019905893499883,True
coh,beta,small_world_proxy,0.39347826086956517,0.49374999999999997,-0.1002717391304348,0.39999999999999997,0.525,-0.12500000000000006,0.4,0.15000000000000002,-0.5358207920888061,-0.206219806763285,2629.0,0.016832549112499026,92,72,0.02019905893499883,True
coh,beta,avg_shortest_path,1.211352657004831,1.0960648148148147,0.11528784219001631,1.1666666666666665,1.0833333333333333,0.08333333333333326,0.3333333333333335,0.16666666666666674,0.582924015385282,0.19474637681159424,3957.0,0.02428157752268294,92,72,0.02842721270948247,True
coh,beta,global_efficiency,0.3413647342995169,0.3185185185185185,0.022846215780998436,0.32499999999999996,0.3125,0.012499999999999956,0.06666666666666665,0.033333333333333326,0.5787109075240453,0.1868961352657006,3931.0,0.030664069825138328,92,72,0.03504465122872952,True
wpli,alpha,avg_shortest_path,1.545289855072464,1.517457561728395,0.027832293344069114,1.5833333333333335,1.5416666666666667,0.04166666666666674,0.16666666666666674,0.16666666666666652,0.19500777645934245,0.19006642512077287,3941.5,0.03463715884279539,92,72,0.03866473545242276,True
wpli,theta,global_efficiency,0.41781400966183585,0.413599537037037,0.004214472624798848,0.4333333333333333,0.4125,0.020833333333333315,0.04236111111111113,0.038541666666666696,0.13296144777524224,0.16953502415458943,3873.5,0.0622756891486622,92,72,0.06793711543490423,False
wpli,alpha,global_efficiency,0.42010869565217385,0.41700424382716045,0.003104451825013399,0.4333333333333333,0.42604166666666665,0.007291666666666641,0.03194444444444444,0.033854166666666685,0.09841882795188343,0.14326690821256038,3786.5,0.1117404892180578,92,72,0.11918985516592832,False
imcoh,beta,global_efficiency,0.4296497584541062,0.4232638888888889,0.006385869565217306,0.4333333333333333,0.4333333333333333,0.0,0.0,0.021875000000000033,0.3195247071321508,0.11533816425120769,3694.0,0.18433984583563812,92,72,0.19235462174153542,False
wpli,beta,global_efficiency,0.42237318840579713,0.4205632716049382,0.0018099168008589017,0.4333333333333333,0.42916666666666664,0.004166666666666652,0.004166666666666652,0.033333333333333326,0.07350922455342765,0.11609299516908211,3696.5,0.188574344107741,92,72,0.19258656419513973,False
